country,year,gwno,ccode,ifscode,ifs,gwabbrev,gdppc_WDI_PW,lngdppc_WDI_PW,democracy_DD,v2x_polyarchy_VDEM,v2x_corr_VDEM
Colombia,1800,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1800,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1801,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1801,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1802,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1802,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1803,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1803,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1804,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1804,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1805,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1805,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1806,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1806,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1807,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1807,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1808,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1808,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1809,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1809,100,100,233,COL,COL,NA,NA,NA,NA,0.543
Colombia,1810,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1810,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1811,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1811,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1812,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1812,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
Colombia,1813,100,100,233,COL,COL,NA,NA,NA,0.108,0.543
